date,equity,cash,open_positions,peak,drawdown,daily_ret
2024-09-11,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-12,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-13,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-16,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-17,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-18,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-19,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-20,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-23,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-24,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-25,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-26,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-27,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-09-30,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2024-10-01,1015283.92,800180.72,1,1015283.92,0.0,0.015283920000000117
2024-10-03,1023642.62,1023642.62,0,1023642.62,0.0,0.008232869481474614
2024-10-04,1023642.62,1023642.62,0,1023642.62,0.0,0.0
2024-10-07,1024934.01,818965.41,1,1024934.01,0.0,0.0012615633374077895
2024-10-08,1032041.31,818965.41,1,1032041.31,0.0,0.00693439765941628
2024-10-09,1029441.66,818965.41,1,1032041.31,-0.2518939866854771,-0.002518939866854808
2024-10-10,1033376.91,818965.41,1,1033376.91,0.0,0.0038227032700424157
2024-10-11,1027128.01,612395.02,2,1033376.91,-0.6047067569953758,-0.006047067569953768
2024-10-14,1031106.93,612395.02,2,1033376.91,-0.21966622033387423,0.003873830682506796
2024-10-15,1046733.35,612395.02,2,1046733.35,0.0,0.015154994642505137
2024-10-16,1052690.57,843406.82,1,1052690.57,0.0,0.005691248874414967
2024-10-17,1052806.52,3818.92,5,1052806.52,0.0,0.00011014632723460593
2024-10-18,1065196.95,237943.2,4,1065196.95,0.0,0.011768952570696323
2024-10-21,1055221.7,438971.35,3,1065196.95,-0.9364700114847307,-0.009364700114847357
2024-10-22,1038256.0,1038256.0,0,1065196.95,-2.529198942974814,-0.016077853592282976
2024-10-23,1038256.0,1038256.0,0,1065196.95,-2.529198942974814,0.0
2024-10-24,1025051.15,830850.36,1,1065196.95,-3.7688617114421827,-0.01271829876254027
2024-10-25,1029661.12,1029661.12,0,1065196.95,-3.3360807125855887,0.004497307280714624
2024-10-28,1029661.12,1029661.12,0,1065196.95,-3.3360807125855887,0.0
2024-10-29,1029661.12,1029661.12,0,1065196.95,-3.3360807125855887,0.0
2024-10-30,1029661.12,1029661.12,0,1065196.95,-3.3360807125855887,0.0
2024-10-31,1012139.28,623149.26,2,1065196.95,-4.98101970720062,-0.01701709393475004
2024-11-01,1018073.95,820474.9,1,1065196.95,-4.423876730026311,0.0058634914356845425
2024-11-04,1012815.26,1012815.26,0,1065196.95,-4.917559142466559,-0.005165332046851767
2024-11-05,1012109.66,810912.86,1,1065196.95,-4.983800413623032,-0.0006966719676004818
