symbol,company_name,signal_date,entry_date,exit_date,entry_price,exit_price,invested_amt,pnl,ret_pct,exit_reason,holding_days,deliv_per,deliv_spike_x,rsi,exit_year
RPGLIFE,RPG Life Sciences Limited,2024-09-30,2024-10-01,2024-10-03,2323.48,2598.39,199819.28,23642.62,11.83,TARGET_HIT,1,78.95,4.05,57.2,2024
NITCO,Nitco Limited,2024-10-10,2024-10-11,2024-10-16,93.64,104.72,206570.39,24441.41,11.83,TARGET_HIT,3,71.31,5.46,67.7,2024
HIRECT,Hirect Limited,2024-10-16,2024-10-17,2024-10-18,1041.56,1164.8,209353.56,24770.71,11.83,TARGET_HIT,1,78.37,3.57,61.3,2024
NUVOCO,Nuvoco Vistas Corporation Limited,2024-10-16,2024-10-17,2024-10-21,364.1,349.01,209718.91,-8690.75,-4.14,STOP_LOSS,2,78.57,43.03,55.8,2024
HCG,Healthcare Global Enterprises Limited,2024-10-04,2024-10-07,2024-10-22,429.09,411.31,204677.21,-8481.82,-4.14,STOP_LOSS,11,71.47,13.4,54.6,2024
STEELCAS,Steelcast Limited,2024-10-16,2024-10-17,2024-10-22,785.88,753.31,210615.05,-8727.89,-4.14,STOP_LOSS,3,84.09,3.54,54.4,2024
MAXIND,Max India Limited,2024-10-16,2024-10-17,2024-10-22,269.1,257.95,209900.38,-8698.27,-4.14,STOP_LOSS,3,79.97,3.36,57.3,2024
PAR,Par Drugs And Chemicals Limited,2024-10-23,2024-10-24,2024-10-25,305.46,292.8,207405.64,-8594.89,-4.14,STOP_LOSS,1,100.0,4.32,65.3,2024
RUBFILA,Rubfila International Limited,2024-10-30,2024-10-31,2024-11-01,84.13,80.64,205856.32,-8530.69,-4.14,STOP_LOSS,1,71.27,4.77,55.9,2024
GKWLIMITED,GKW Limited,2024-10-30,2024-10-31,2024-11-04,3520.27,3374.39,200655.53,-8315.17,-4.14,STOP_LOSS,2,71.47,3.23,67.9,2024
HCG,Healthcare Global Enterprises Limited,2024-11-05,2024-11-06,2024-11-07,490.74,470.4,203164.29,-8419.13,-4.14,STOP_LOSS,1,71.31,10.05,65.5,2024
SOLARA,Solara Active Pharma Sciences Limited,2024-11-04,2024-11-05,2024-11-12,801.2,768.0,201902.4,-8366.84,-4.14,STOP_LOSS,5,73.07,5.61,59.3,2024
