SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
SHANKARA,2026-09-18,149.29,149.26,461337,687.97,426297.0,92.4,99072.63636363637,175.12818181818182,4.302873282137348,-0.02009511688659732,Shankara Building Products Limited,6.356842800000001
BHARTIARTL,2026-09-18,1836.0,1893.3,14189780,265930.41,12483302.0,87.97,2924509.0,79154.07090909091,4.26851208185716,3.1209150326797364,Bharti Airtel Limited,2339.38981677
AURUM,2026-09-18,221.11,219.78,149650,329.12,128769.0,86.05,48861.818181818184,176.17454545454547,2.635370618441616,-0.6015105603545803,Aurum PropTech Limited,2.8320776
BHAGCHEM,2026-09-18,247.95,246.85,146748,365.33,124540.0,84.87,27466.18181818182,112.33363636363637,4.534303341630038,-0.44363783020770087,Bhagiradha Chemicals & Industries Limited,3.10055571
UNITDSPR,2026-09-18,1390.0,1371.0,842151,11629.25,706325.0,83.87,252679.81818181818,6215.024545454546,2.7953360307223156,-1.3669064748201438,United Spirits Limited,97.53451975
SMARTWORKS,2026-09-18,519.9,547.35,274681,1501.81,230192.0,83.8,35917.0,324.7609090909091,6.408998524375644,5.279861511829207,Smartworks Coworking Spaces Limited,12.585167799999999
MAXESTATES,2026-09-18,577.6,594.0,201561,1186.75,168410.0,83.55,79630.45454545454,655.0290909090909,2.11489437001604,2.8393351800553974,Max Estates Limited,9.91529625
KOTAKBANK,2026-09-18,416.5,412.5,15461137,64328.87,12806526.0,82.83,7298318.636363637,45792.08,1.7547227845317548,-0.9603841536614646,Kotak Mahindra Bank Limited,532.83603021
VINATIORGA,2026-09-18,1249.7,1234.9,178913,2215.66,145455.0,81.3,33005.181818181816,742.139090909091,4.4070352589262844,-1.1842842282147679,Vinati Organics Limited,18.013315799999997
AXISBANK,2026-09-18,1240.0,1257.0,5693016,71135.14,4627220.0,81.28,2614794.3636363638,54722.21272727272,1.7696305546433027,1.370967741935484,Axis Bank Limited,578.1864179199999
DEEDEV,2026-09-18,636.95,668.75,288664,1923.21,234147.0,81.11,139859.27272727274,1713.658181818182,1.6741614298008647,4.992542585760256,DEE Development Engineers Limited,15.599156310000001
PETRONET,2026-09-18,283.45,292.6,3218273,9296.01,2600880.0,80.82,774055.7272727273,3817.78,3.3600681557693814,3.2280825542423828,Petronet LNG Limited,75.13035282
UPL,2026-09-18,554.75,580.0,3779171,21494.29,3050593.0,80.72,1008017.0,9909.278181818181,3.0263309051335443,4.5515998197386205,UPL Limited,173.50190888
BIOCON,2026-09-18,380.0,385.0,7901211,30385.98,6325497.0,80.06,1659347.7272727273,14043.543636363638,3.8120382461345024,1.3157894736842104,Biocon Limited,243.27015587999998
PFC,2026-09-18,344.95,342.55,11369930,39277.82,9058037.0,79.67,4984183.636363637,27502.896363636362,1.8173561932819489,-0.6957530076822662,Power Finance Corporation Limited,312.92639194
RADICO,2026-09-18,4380.0,4535.4,371544,16681.31,293872.0,79.09,90894.18181818182,7650.446363636364,3.2331222320460555,3.5479452054794436,Radico Khaitan Limited,131.93248079000003
INDIAMART,2026-09-18,1662.7,1646.3,709316,11655.53,556844.0,78.5,50110.90909090909,1885.802727272727,11.112231051122965,-0.9863475070668246,Indiamart Intermesh Limited,91.49591050000001
LICI,2026-09-18,400.0,407.7,6937082,27840.22,5439345.0,78.41,4107984.1818181816,27967.905454545456,1.3240910284110592,1.9249999999999972,Life Insurance Corporation Of India,218.29516502
SCILAL,2026-09-18,38.19,36.83,1140340,421.94,890883.0,78.12,126300.72727272728,78.55363636363636,7.053664846096042,-3.561141660120449,Shipping Corporation of India Land and Assets Limited,3.29619528
GYFTR,2026-09-18,176.12,171.05,223375,382.68,173595.0,77.71,18592.18181818182,56.81363636363637,9.33698915477669,-2.8787190551896393,Gyftr Limited,2.9738062799999994
DCMSHRIRAM,2026-09-18,984.0,995.0,69400,689.52,53641.0,77.29,29138.363636363636,531.3090909090909,1.840906396440806,1.1178861788617886,DCM Shriram Limited,5.32930008
RELIANCE,2026-09-18,1243.9,1226.4,15122715,186728.32,11645440.0,77.01,5992630.818181818,131802.42,1.9432934137486648,-1.4068655036578501,Reliance Industries Limited,1437.9947923200002
ADANIPORTS,2026-09-18,1738.3,1824.0,4148803,74139.05,3187106.0,76.82,1137882.7272727273,35024.66454545454,2.8009090248156263,4.9301041247195565,Adani Ports and Special Economic Zone Limited,569.5361820999999
ALKEM,2026-09-18,5348.5,5466.5,320770,17211.65,244775.0,76.31,101141.36363636363,8418.141818181817,2.420127544256239,2.206226044685426,Alkem Laboratories Limited,131.34210115000002
SHYAMMETL,2026-09-18,1077.0,1100.0,1196160,13143.39,912577.0,76.29,136385.81818181818,2834.2372727272727,6.691142907420393,2.1355617455896008,Shyam Metalics and Energy Limited,100.27092231
MOTHERSON,2026-09-18,161.87,162.57,19068300,31208.12,14523618.0,76.17,5547602.636363637,16183.56,2.617998972168633,0.4324457898313391,Samvardhana Motherson International Limited,237.71225004
HINDUNILVR,2026-09-18,1942.2,1932.0,1994635,38839.28,1518642.0,76.14,794226.5454545454,26065.23909090909,1.9121017909705635,-0.5251776336113708,Hindustan Unilever Limited,295.72227791999995
LUPIN,2026-09-18,2098.1,2083.0,1194290,24950.0,907759.0,76.01,365480.45454545453,13795.627272727272,2.483741575535068,-0.7196987750822129,Lupin Limited,189.64495
BAJFINANCE,2026-09-18,1015.0,1040.3,8201656,84514.81,6226077.0,75.91,3446057.0,55221.99181818182,1.8067249032735093,2.492610837438419,Bajaj Finance Limited,641.55192271
M&M,2026-09-18,3076.5,3052.0,2973119,91206.11,2252454.0,75.76,1016247.5454545454,54134.7,2.2164422537350643,-0.7963594994311717,Mahindra & Mahindra Limited,690.97748936
APOLLOHOSP,2026-09-18,8768.5,8944.5,344265,30500.91,260438.0,75.65,160488.27272727274,23643.847272727275,1.6227852389101214,2.007184809260421,Apollo Hospitals Enterprise Limited,230.73938415
BRITANNIA,2026-09-18,4982.0,4998.0,346885,17370.48,260436.0,75.08,135276.18181818182,12349.088181818182,1.9252169635452858,0.3211561621838619,Britannia Industries Limited,130.41756384
FORTIS,2026-09-18,886.1,886.0,1928099,17201.31,1446880.0,75.04,428167.1818181818,7630.625454545455,3.379240776595548,-0.01128540796750059,Fortis Healthcare Limited,129.07863024000002
PIIND,2026-09-18,2307.0,2366.8,558327,13094.95,417820.0,74.83,126675.90909090909,8324.442727272726,3.2983382791447036,2.592110966623328,PI Industries Limited,97.98951085
MARICO,2026-09-18,817.0,803.9,2848872,23126.51,2129629.0,74.75,1098800.3636363635,14023.958181818183,1.938140057537129,-1.6034271725826221,Marico Limited,172.87066224999998
BAJAJ-AUTO,2026-09-18,11500.0,11414.0,296757,33970.66,221542.0,74.65,104898.27272727272,22368.96363636364,2.1119699518407877,-0.7478260869565218,Bajaj Auto Limited,253.59097690000007
INDUSINDBK,2026-09-18,958.2,966.3,6250679,60280.04,4656142.0,74.49,1027326.7272727273,17758.11909090909,4.532289364612161,0.8453350031308609,IndusInd Bank Limited,449.02601795999993
BPCL,2026-09-18,307.0,314.0,9439555,29485.03,7022774.0,74.4,1800306.1818181819,11270.173636363637,3.9008775678965315,2.2801302931596092,Bharat Petroleum Corporation Limited,219.36862320000003
HEROMOTOCO,2026-09-18,5325.0,5285.5,688654,36549.32,512051.0,74.36,264329.0909090909,24646.596363636363,1.9371723265075906,-0.7417840375586854,Hero MotoCorp Limited,271.78074352
IKS,2026-09-18,1728.9,1779.9,451923,8043.45,335510.0,74.24,57959.545454545456,2169.64,5.7886927402341755,2.949852507374631,Inventurus Knowledge Solutions Limited,59.7145728
TRENT,2026-09-18,2789.0,2824.0,925467,25951.73,683320.0,73.84,297898.7272727273,17192.05181818182,2.2937996622403096,1.254930082466834,Trent Limited,191.62757432
CUMMINSIND,2026-09-18,5020.0,5099.5,502366,25594.66,369945.0,73.64,219776.27272727274,19017.830909090906,1.6832799801781895,1.5836653386454185,Cummins India Limited,188.47907623999998
ZFCVINDIA,2026-09-18,2445.2,2387.0,351520,8432.75,258202.0,73.45,29836.363636363636,1345.7436363636364,8.65393662400975,-2.3801734009487907,ZF Commercial Vehicle Control Systems India Limited,61.93854875
LGEINDIA,2026-09-18,1652.9,1696.9,1337344,22632.86,980784.0,73.34,274160.54545454547,6910.733636363637,3.577407530955651,2.661988021053905,LG Electronics India Limited,165.98939524000002
ONGC,2026-09-18,232.43,232.8,11146237,25974.88,8168015.0,73.28,5830154.2727272725,29644.050909090907,1.400994659473926,0.15918771242955065,Oil & Natural Gas Corporation Limited,190.34392064
JSWENERGY,2026-09-18,512.0,526.0,3397652,17557.6,2484988.0,73.14,841215.0,8285.587272727273,2.9540462307495705,2.734375,JSW Energy Limited,128.4162864
TVSMOTOR,2026-09-18,4101.7,4171.3,1304681,54452.99,954162.0,73.13,319828.2727272727,24678.00818181818,2.983357261894238,1.6968574005900083,TVS Motor Company Limited,398.2147158699999
ICEMAKE,2026-09-18,668.9,685.6,53006,361.23,38625.0,72.87,11064.90909090909,135.36545454545455,3.490765236538114,2.4966362685005303,Ice Make Refrigeration Limited,2.6322830100000005
DECCANCE,2026-09-18,569.2,567.45,36914,208.78,26880.0,72.82,18977.090909090908,286.9818181818182,1.4164447084522966,-0.3074490513000702,Deccan Cements Limited,1.52033596
LT,2026-09-18,3836.2,3885.0,1547690,60023.34,1126758.0,72.8,883487.8181818182,59389.89636363636,1.2753520499227955,1.2720921745477343,Larsen & Toubro Limited,436.96991519999995
GMRAIRPORT,2026-09-18,95.04,99.3,21945461,21419.55,15970769.0,72.77,5040883.545454546,8850.488181818182,3.1682479581185974,4.482323232323222,GMR AIRPORTS LIMITED,155.87006535
AADHARHFC,2026-09-18,469.35,461.65,2175228,10049.29,1575505.0,72.43,134065.0,1137.469090909091,11.75179950024242,-1.6405667412378917,Aadhar Housing Finance Limited,72.78700747
ZOTA,2026-09-18,1118.8,1144.5,56557,646.53,40926.0,72.36,30530.0,552.0981818181818,1.340517523747134,2.2971040400429072,Zota Health Care LImited,4.67829108
