SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
SKFINDUS,2026-09-18,2940.3,2984.2,1293995,38704.6,811274.0,62.7,20483.727272727272,1225.449090909091,39.60578019802859,1.4930449273883493,SKF India (Industrial) Limited,242.67784199999997
GODIGIT,2026-09-18,255.5,239.0,3424067,8269.83,2072171.0,60.52,75235.45454545454,405.4309090909091,27.542479971966795,-6.457925636007827,Go Digit General Insurance Limited,50.049011160000006
AQYLON,2026-09-18,18.88,17.98,38267346,6880.49,19975155.0,52.2,727735.8181818182,229.86363636363637,27.44836038152706,-4.766949152542366,Aqylon Nexus Limited,35.9161578
QUINT,2026-09-18,63.66,70.02,668824,461.36,344058.0,51.44,21980.909090909092,18.87818181818182,15.652582819802307,9.99057492931197,Quint Digital Limited,2.37323584
RELAXO,2026-09-18,313.7,291.25,2052973,6033.4,935799.0,45.58,61479.90909090909,530.2172727272726,15.221216391459738,-7.156518967166078,Relaxo Footwears Limited,27.500237199999997
EMCURE,2026-09-18,1909.8,2003.8,1744754,34908.05,1140456.0,65.36,79547.63636363637,3132.5363636363636,14.336767905794582,4.921981359304639,Emcure Pharmaceuticals Limited,228.1590148
CENTRALBK,2026-09-18,30.4,31.73,56472458,17821.34,31914466.0,56.51,2534012.0,1499.1290909090908,12.5944415417133,4.375000000000006,Central Bank of India,100.70839233999999
AADHARHFC,2026-09-18,469.35,461.65,2175228,10049.29,1575505.0,72.43,134065.0,1137.469090909091,11.75179950024242,-1.6405667412378917,Aadhar Housing Finance Limited,72.78700747
ORIENTCEM,2026-09-18,122.09,124.55,2828940,3516.04,1849499.0,65.38,163837.54545454544,438.6454545454546,11.28861516369042,2.0149070357932617,Orient Cement Limited,22.98786952
INDIAMART,2026-09-18,1662.7,1646.3,709316,11655.53,556844.0,78.5,50110.90909090909,1885.802727272727,11.112231051122965,-0.9863475070668246,Indiamart Intermesh Limited,91.49591050000001
ROUTE,2026-09-18,492.6,464.4,1118251,5236.64,666063.0,59.56,62557.09090909091,719.0818181818182,10.647282191685267,-5.7247259439707765,ROUTE MOBILE LIMITED,31.189427840000004
JSWINFRA,2026-09-18,326.65,348.25,25470641,88366.29,16474653.0,64.68,1641802.9090909092,9420.469090909091,10.034488859032574,6.612582274605855,JSW Infrastructure Limited,571.55316372
BATAINDIA,2026-09-18,636.65,638.3,1089830,6934.73,501482.0,46.01,51733.90909090909,708.8199999999999,9.693487478759316,0.2591690881960225,Bata India Limited,31.906692729999996
GYFTR,2026-09-18,176.12,171.05,223375,382.68,173595.0,77.71,18592.18181818182,56.81363636363637,9.33698915477669,-2.8787190551896393,Gyftr Limited,2.9738062799999994
MANYAVAR,2026-09-18,567.6,544.25,2133812,11663.81,1277075.0,59.85,138018.27272727274,2105.677272727273,9.252941474811307,-4.113812544045106,Vedant Fashions Limited,69.80790285
ACMESOLAR,2026-09-18,411.3,435.25,12038412,52008.26,7105260.0,59.02,771592.0909090909,8094.513636363636,9.20857028436952,5.823000243131531,Acme Solar Holdings Limited,306.95275052000005
SJS,2026-09-18,2266.0,2422.8,992502,23955.57,605884.0,61.05,67878.45454545454,2958.5272727272727,8.926013475959033,6.919682259488093,S.J.S. Enterprises Limited,146.24875484999998
SYNGENE,2026-09-18,380.2,369.05,2498133,9294.35,1702612.0,68.16,192099.0,1366.1454545454546,8.863200745448962,-2.932667017359279,Syngene International Limited,63.350289599999996
ZFCVINDIA,2026-09-18,2445.2,2387.0,351520,8432.75,258202.0,73.45,29836.363636363636,1345.7436363636364,8.65393662400975,-2.3801734009487907,ZF Commercial Vehicle Control Systems India Limited,61.93854875
ANTHEM,2026-09-18,927.4,928.5,5490000,50985.65,3815599.0,69.5,446186.36363636365,7438.430909090909,8.551581381607766,0.1186111710157454,Anthem Biosciences Limited,354.3502675
CHALET,2026-09-18,842.3,865.65,566679,4891.65,371075.0,65.48,48298.454545454544,878.12,7.682958046841326,2.772171435355577,Chalet Hotels Limited,32.0305242
WHIRLPOOL,2026-09-18,727.4,717.7,1683148,12069.39,849314.0,50.46,113052.09090909091,1721.9054545454544,7.512589932396409,-1.3335166345889375,Whirlpool of India Limited,60.90214194
SCILAL,2026-09-18,38.19,36.83,1140340,421.94,890883.0,78.12,126300.72727272728,78.55363636363636,7.053664846096042,-3.561141660120449,Shipping Corporation of India Land and Assets Limited,3.29619528
JUBLFOOD,2026-09-18,480.2,500.0,2900829,14377.28,1763654.0,60.8,253670.45454545456,2920.2363636363634,6.952540070779016,4.123281965847566,Jubilant Foodworks Limited,87.4138624
STARHEALTH,2026-09-18,560.55,547.05,2515581,13792.21,1777990.0,70.68,256375.45454545456,2501.640909090909,6.935102282518891,-2.4083489430024088,Star Health and Allied Insurance Company Limited,97.48334028000001
CRAFTSMAN,2026-09-18,10937.0,11138.0,207605,23141.22,141171.0,68.0,20705.636363636364,5185.346363636363,6.817998612586823,1.8377982993508273,Craftsman Automation Limited,157.360296
AARTIPHARM,2026-09-18,826.95,820.4,1901494,15632.53,1201820.0,63.2,178995.72727272726,3394.556363636364,6.714238481060747,-0.7920672350202634,Aarti Pharmalabs Limited,98.79758960000001
SHYAMMETL,2026-09-18,1077.0,1100.0,1196160,13143.39,912577.0,76.29,136385.81818181818,2834.2372727272727,6.691142907420393,2.1355617455896008,Shyam Metalics and Energy Limited,100.27092231
METROBRAND,2026-09-18,950.45,940.85,918435,8641.49,583208.0,63.5,90199.27272727272,1018.1363636363635,6.465772753660582,-1.0100478720606052,Metro Brands Limited,54.873461500000005
SMARTWORKS,2026-09-18,519.9,547.35,274681,1501.81,230192.0,83.8,35917.0,324.7609090909091,6.408998524375644,5.279861511829207,Smartworks Coworking Spaces Limited,12.585167799999999
THANGAMAYL,2026-09-18,4811.0,5044.5,386791,19457.66,252288.0,65.23,39512.454545454544,4001.7636363636366,6.385024744787029,4.853460818956558,Thangamayil Jewellery Limited,126.92231618
DALBHARAT,2026-09-18,1693.3,1761.4,374184,6508.79,194857.0,52.08,31131.454545454544,1117.2463636363636,6.259167868802673,4.021732711273852,Dalmia Bharat Limited,33.89777831999999
SUNDARMFIN,2026-09-18,4662.8,4730.6,179114,8444.63,123510.0,68.96,19844.636363636364,1614.361818181818,6.223847982738638,1.454061937033546,Sundaram Finance Limited,58.23416847999999
APOLLOTYRE,2026-09-18,412.15,409.3,2365364,9695.43,1322825.0,55.92,216180.0,2598.0072727272727,6.119090572670922,-0.6914958146305874,Apollo Tyres Limited,54.216844560000006
