date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-01-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-07,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-08,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-12,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-13,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-14,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-16,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-19,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-20,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-21,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-22,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-23,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-27,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-28,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-29,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-30,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-02,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-03,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-04,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-10,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-11,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-02-12,987800.99,601449.55,2,1000000.0,-1.219901000000001,-0.01219901000000001
2026-02-13,984279.97,984279.97,0,1000000.0,-1.5720030000000027,-0.0035645034127774755
2026-02-16,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-17,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-18,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-19,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-20,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-23,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-24,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-25,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-26,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-02-27,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-02,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-04,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-05,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-06,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-09,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-10,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-11,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-12,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-13,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-16,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-17,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-18,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-19,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-20,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
2026-03-23,984279.97,984279.97,0,1000000.0,-1.5720030000000027,0.0
