date,equity,cash,open_positions,peak,drawdown,daily_ret
2026-01-05,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-06,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-07,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-08,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-09,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-12,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-13,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-14,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-16,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-19,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-20,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-21,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-22,1000000.0,1000000.0,0,1000000.0,0.0,0.0
2026-01-23,982498.3,203204.79,4,1000000.0,-1.7501699999999953,-0.017501699999999953
2026-01-27,984581.95,198441.0,4,1000000.0,-1.5418050000000045,0.0021207670282989977
2026-01-28,989093.55,1026.35,5,1000000.0,-1.0906449999999952,0.0045822493495844
2026-01-29,993297.03,1026.35,5,1000000.0,-0.6702969999999973,0.0042498305645608525
2026-01-30,1000204.42,1026.35,5,1000204.42,0.0,0.006954002469935938
2026-02-02,1012856.48,16.34,5,1012856.48,0.0,0.012649474194485144
2026-02-03,1001756.84,194450.62,4,1012856.48,-1.0958749061861177,-0.010958749061861228
2026-02-04,1026175.19,151.32,5,1026175.19,0.0,0.024375526100725242
2026-02-05,997074.33,5235.73,5,1026175.19,-2.8358569066554793,-0.028358569066554762
2026-02-06,1011719.08,205556.28,4,1026175.19,-1.4087370403098507,0.014687721425944211
2026-02-09,1016766.78,1464.83,5,1026175.19,-0.9168424740418756,0.004989230805057199
2026-02-10,1033014.75,13521.15,5,1033014.75,0.0,0.01598003624784039
2026-02-11,1033601.45,13521.15,5,1033601.45,0.0,0.0005679492959804744
2026-02-12,1012327.32,8828.8,5,1033601.45,-2.0582527240069184,-0.02058252724006915
2026-02-13,991216.86,200359.44,4,1033601.45,-4.100670524407639,-0.020853393544688625
2026-02-16,975709.5,392636.5,3,1033601.45,-5.600993497058267,-0.01564477020699584
2026-02-17,994993.18,2608.33,5,1033601.45,-3.735314999799962,0.019763751403465868
2026-02-18,992204.66,402105.11,3,1033601.45,-4.005101773028659,-0.002802551872767678
2026-02-19,970414.46,200111.53,4,1033601.45,-6.113283800056588,-0.021961396553005552
2026-02-20,971140.42,4608.96,5,1033601.45,-6.043047830476623,0.000748092727307581
2026-02-23,953162.26,14.71,5,1033601.45,-7.782418455392061,-0.018512420685774855
2026-02-24,969201.11,996.27,5,1033601.45,-6.230674308748306,0.01682698809329697
2026-02-25,964015.94,380673.93,3,1033601.45,-6.7323347891975205,-0.005349942283908504
2026-02-26,956622.28,1293.96,5,1033601.45,-7.447664668040077,-0.007669644964584221
2026-02-27,946847.66,1293.96,5,1033601.45,-8.393350260876659,-0.010217846901914074
2026-03-02,934385.14,175547.14,4,1033601.45,-9.599087733477923,-0.013162117335749679
2026-03-04,904933.16,539809.46,2,1033601.45,-12.448540005434388,-0.03152017164998999
2026-03-05,903608.06,539809.46,2,1033601.45,-12.576742224964942,-0.0014643070434063876
2026-03-06,902344.27,360045.12,3,1033601.45,-12.699012757770408,-0.0013986041691571582
2026-03-09,877441.98,354245.38,3,1033601.45,-15.10828666116906,-0.027597327126596682
2026-03-10,885208.83,354245.38,3,1033601.45,-14.356850989324755,0.008851696382249585
2026-03-11,884340.09,518137.09,2,1033601.45,-14.440900794014947,-0.0009813955425637122
2026-03-12,894695.52,339585.82,3,1033601.45,-13.439022362052603,0.011709782375692201
2026-03-13,883446.98,339585.82,3,1033601.45,-14.52730837403527,-0.012572478288479627
2026-03-16,884559.4,339585.82,3,1033601.45,-14.419682751025547,0.001259181394224651
