symbol,company_name,signal_date,entry_date,exit_date,entry_price,exit_price,shares,invested_amt,exit_amt,pnl,ret_pct,exit_reason,holding_days,deliv_per,deliv_spike_x,rsi,atr_pct
OMAXAUTO,Omax Autos Limited,2026-01-28,2026-01-29,2026-01-30,125.19,120.0,1609,201426.69,193079.57,-8347.12,-4.14,STOP_LOSS,1,88.11,14.3,64.5,4.69
SKFINDUS,SKF India (Industrial) Limited,2026-01-28,2026-01-29,2026-02-02,2732.09,2618.87,73,199442.72,191177.81,-8264.91,-4.14,STOP_LOSS,2,90.12,7.15,66.0,3.45
SINDHUTRAD,Sindhu Trade Links Limited,2026-01-29,2026-01-30,2026-02-02,20.77,19.91,9634,200108.87,191816.36,-8292.51,-4.14,STOP_LOSS,1,72.24,34.35,60.2,6.46
MAYURUNIQ,Mayur Uniquoters Ltd,2026-01-23,2026-01-27,2026-02-03,501.45,560.78,398,199577.52,223191.53,23614.01,11.83,TARGET_HIT,5,80.37,6.69,55.2,3.47
POKARNA,Pokarna Limited,2026-02-03,2026-02-04,2026-02-05,901.35,1008.0,224,201902.4,225791.49,23889.09,11.83,TARGET_HIT,1,100.0,4.52,63.7,4.9
MUFTI,Credo Brands Marketing Limited,2026-02-03,2026-02-04,2026-02-09,98.19,109.8,2061,202363.53,226307.18,23943.65,11.83,TARGET_HIT,3,70.25,7.03,54.4,4.18
CHEMPLASTS,Chemplast Sanmar Limited,2026-02-09,2026-02-10,2026-02-11,284.43,318.08,751,213603.93,238877.54,25273.62,11.83,TARGET_HIT,1,70.27,11.08,59.3,5.15
LUXIND,Lux Industries Limited,2026-02-09,2026-02-10,2026-02-12,1042.06,998.88,206,214664.51,205768.82,-8895.7,-4.14,STOP_LOSS,2,84.48,16.3,67.3,3.93
KRISHIVAL,Krishival Foods Limited,2026-02-10,2026-02-11,2026-02-12,370.45,355.1,586,217086.54,208090.48,-8996.07,-4.14,STOP_LOSS,1,80.24,9.71,63.1,6.1
KANPRPLA,Kanpur Plastipack Limited,2026-02-11,2026-02-12,2026-02-13,213.22,204.38,1002,213645.79,204792.31,-8853.48,-4.14,STOP_LOSS,1,93.18,13.62,65.6,6.36
EFCIL,EFC (I) Limited,2026-02-11,2026-02-12,2026-02-13,276.81,265.34,766,212039.98,203253.05,-8786.94,-4.14,STOP_LOSS,1,79.84,7.94,58.8,6.1
KIRLPNU,Kirloskar Pneumatic Company Limited,2026-01-27,2026-01-28,2026-02-17,1110.76,1120.92,180,199937.46,201764.9,1827.44,0.91,TIME_EXIT,14,70.13,3.6,60.5,4.32
YASHO,Yasho Industries Limited,2026-02-03,2026-02-04,2026-02-17,1377.26,1540.22,147,202457.63,226412.42,23954.79,11.83,TARGET_HIT,9,73.69,5.03,57.5,4.9
RAMCOCEM,The Ramco Cements Limited,2026-01-29,2026-01-30,2026-02-19,1109.66,1125.51,173,191971.53,194713.09,2741.57,1.43,TIME_EXIT,14,70.29,3.3,57.0,2.68
METROBRAND,Metro Brands Limited,2026-02-13,2026-02-16,2026-02-25,1071.61,1027.2,197,211106.18,202357.94,-8748.24,-4.14,STOP_LOSS,7,77.2,4.12,60.2,4.38
SKFINDIA,SKF India Limited,2026-02-23,2026-02-24,2026-03-02,1792.69,1718.4,118,211536.83,202770.74,-8766.09,-4.14,STOP_LOSS,4,73.45,13.28,62.0,3.2
JSWCEMENT,JSW Cement Limited,2026-02-26,2026-02-27,2026-03-02,128.94,123.6,1627,209790.46,201096.75,-8693.72,-4.14,STOP_LOSS,1,75.76,8.88,62.4,2.86
BUILDPRO,Shankara Buildpro Limited,2026-03-06,2026-03-09,2026-03-11,1001.5,960.0,207,207310.5,198719.55,-8590.95,-4.14,STOP_LOSS,2,82.71,4.75,63.2,6.75
GUFICBIO,Gufic Biosciences Limited,2026-03-17,2026-03-18,2026-03-23,294.24,282.05,700,205968.49,197433.16,-8535.33,-4.14,STOP_LOSS,3,80.27,3.78,62.1,3.98
RELIGARE,Religare Enterprises Limited,2026-03-25,2026-03-27,2026-03-30,225.34,216.0,906,204155.77,195695.56,-8460.22,-4.14,STOP_LOSS,1,77.58,3.86,61.5,4.84
SEDEMAC,SEDEMAC Mechatronics Limited,2026-04-01,2026-04-02,2026-04-07,1547.32,1730.4,131,202698.59,226681.89,23983.3,11.83,TARGET_HIT,2,71.19,3.83,66.1,4.69
INDOTHAI,Indo Thai Securities Limited,2026-03-25,2026-03-27,2026-04-20,284.73,318.42,714,203294.69,227348.51,24053.83,11.83,TARGET_HIT,13,74.22,3.74,67.8,3.98
CARERATING,CARE Ratings Limited,2026-04-17,2026-04-20,2026-04-24,1615.22,1548.28,137,221285.03,212114.98,-9170.05,-4.14,STOP_LOSS,4,82.12,6.31,67.4,3.94
ANTHEM,Anthem Biosciences Limited,2026-04-08,2026-04-09,2026-04-27,689.08,770.61,302,208102.79,232725.51,24622.72,11.83,TARGET_HIT,11,85.79,4.81,63.0,3.31
KPIL,Kalpataru Projects International Limited,2026-04-08,2026-04-09,2026-04-30,1146.22,1248.42,183,209757.67,228461.69,18704.03,8.92,TIME_EXIT,14,72.92,4.39,56.1,4.42
THELEELA,Leela Palaces Hotels & Resorts Limited,2026-04-08,2026-04-09,2026-04-30,415.62,427.61,505,209889.36,215941.85,6052.49,2.88,TIME_EXIT,14,84.94,3.74,57.5,3.89
GALAPREC,Gala Precision Engineering Limited,2026-04-27,2026-04-28,2026-04-30,761.54,729.98,292,222369.86,213154.85,-9215.01,-4.14,STOP_LOSS,2,79.36,4.61,61.6,3.42
NIITMTS,NIIT Learning Systems Limited,2026-04-29,2026-04-30,2026-05-04,325.49,312.0,680,221331.5,212159.52,-9171.98,-4.14,STOP_LOSS,1,82.48,3.52,63.9,4.38
CREST,Crest Ventures Limited,2026-04-10,2026-04-13,2026-05-05,340.51,366.45,604,205668.04,221335.5,15667.46,7.62,TIME_EXIT,14,97.75,18.41,60.7,5.0
