symbol,company_name,signal_date,entry_date,exit_date,entry_price,exit_price,shares,invested_amt,exit_amt,pnl,ret_pct,exit_reason,holding_days,deliv_per,deliv_spike_x,rsi,atr_pct
OMAXAUTO,Omax Autos Limited,2026-01-28,2026-01-29,2026-01-30,125.19,120.0,1609,201426.69,193079.57,-8347.12,-4.14,STOP_LOSS,1,88.11,14.3,64.5,4.69
SKFINDUS,SKF India (Industrial) Limited,2026-01-28,2026-01-29,2026-02-02,2732.09,2618.87,73,199442.72,191177.81,-8264.91,-4.14,STOP_LOSS,2,90.12,7.15,66.0,3.45
SINDHUTRAD,Sindhu Trade Links Limited,2026-01-29,2026-01-30,2026-02-02,20.77,19.91,9634,200108.87,191816.36,-8292.51,-4.14,STOP_LOSS,1,72.24,34.35,60.2,6.46
MAYURUNIQ,Mayur Uniquoters Ltd,2026-01-23,2026-01-27,2026-02-03,501.45,560.78,398,199577.52,223191.53,23614.01,11.83,TARGET_HIT,5,80.37,6.69,55.2,3.47
VARDMNPOLY,Vardhman Polytex Limited,2026-02-03,2026-02-04,2026-02-05,7.3,7.0,27729,202447.63,194058.2,-8389.43,-4.14,STOP_LOSS,1,93.23,53.04,69.4,8.76
LUXIND,Lux Industries Limited,2026-02-09,2026-02-10,2026-02-12,1042.06,998.88,189,196949.48,188787.9,-8161.59,-4.14,STOP_LOSS,2,84.48,16.3,67.3,3.93
KDDL,KDDL Limited,2026-02-03,2026-02-04,2026-02-13,2413.62,2313.59,83,200330.05,192028.37,-8301.68,-4.14,STOP_LOSS,7,70.95,4.12,59.3,4.52
KANPRPLA,Kanpur Plastipack Limited,2026-02-11,2026-02-12,2026-02-13,213.22,204.38,888,189338.78,181492.58,-7846.2,-4.14,STOP_LOSS,1,93.18,13.62,65.6,6.36
KIRLPNU,Kirloskar Pneumatic Company Limited,2026-01-27,2026-01-28,2026-02-17,1110.76,1120.92,180,199937.46,201764.9,1827.44,0.91,TIME_EXIT,14,70.13,3.6,60.5,4.32
RAMCOCEM,The Ramco Cements Limited,2026-01-29,2026-01-30,2026-02-19,1109.66,1125.51,173,191971.53,194713.09,2741.57,1.43,TIME_EXIT,14,70.29,3.3,57.0,2.68
AMBIKCO,Ambika Cotton Mills Limited,2026-02-03,2026-02-04,2026-02-24,1346.02,1365.75,149,200556.38,203496.5,2940.11,1.47,TIME_EXIT,14,70.17,4.19,65.7,5.12
JSWCEMENT,JSW Cement Limited,2026-02-26,2026-02-27,2026-03-02,128.94,123.6,1509,194575.18,186511.98,-8063.2,-4.14,STOP_LOSS,1,75.76,8.88,62.4,2.86
BUILDPRO,Shankara Buildpro Limited,2026-03-06,2026-03-09,2026-03-11,1001.5,960.0,192,192288.0,184319.59,-7968.41,-4.14,STOP_LOSS,2,82.71,4.75,63.2,6.75
IPCALAB,IPCA Laboratories Limited,2026-03-25,2026-03-27,2026-04-01,1597.09,1530.91,119,190053.95,182178.12,-7875.84,-4.14,STOP_LOSS,2,81.74,3.86,68.4,3.45
SEDEMAC,SEDEMAC Mechatronics Limited,2026-04-01,2026-04-02,2026-04-07,1547.32,1730.4,123,190320.05,212838.72,22518.67,11.83,TARGET_HIT,2,71.19,3.83,66.1,4.69
DIFFNKG,Diffusion Engineers Limited,2026-04-08,2026-04-09,2026-04-13,283.72,271.97,694,196905.12,188745.37,-8159.75,-4.14,STOP_LOSS,2,83.22,4.61,70.9,5.66
INDOTHAI,Indo Thai Securities Limited,2026-03-25,2026-03-27,2026-04-20,284.73,318.42,671,191051.45,213656.66,22605.21,11.83,TARGET_HIT,13,74.22,3.74,67.8,3.98
SINTERCOM,Sintercom India Limited,2026-04-17,2026-04-20,2026-04-21,85.14,81.61,2391,203563.8,195128.11,-8435.68,-4.14,STOP_LOSS,1,82.02,7.83,71.9,7.18
ANTHEM,Anthem Biosciences Limited,2026-04-08,2026-04-09,2026-04-27,689.08,770.61,283,195010.23,218083.84,23073.61,11.83,TARGET_HIT,11,85.79,4.81,63.0,3.31
GALAPREC,Gala Precision Engineering Limited,2026-04-27,2026-04-28,2026-04-30,761.54,729.98,267,203331.34,194905.29,-8426.05,-4.14,STOP_LOSS,2,79.36,4.61,61.6,3.42
DODLA,Dodla Dairy Limited,2026-04-28,2026-04-29,2026-04-30,1151.73,1104.0,176,202703.6,194303.56,-8400.04,-4.14,STOP_LOSS,1,79.46,10.44,69.5,3.66
GALAXYSURF,Galaxy Surfactants Limited,2026-04-29,2026-04-30,2026-05-04,1930.79,1850.78,103,198871.56,190630.32,-8241.24,-4.14,STOP_LOSS,1,83.63,5.15,68.2,3.56
NIITMTS,NIIT Learning Systems Limited,2026-04-29,2026-04-30,2026-05-04,325.49,312.0,608,197896.4,189695.57,-8200.83,-4.14,STOP_LOSS,1,82.48,3.52,63.9,4.38
CREST,Crest Ventures Limited,2026-04-10,2026-04-13,2026-05-05,340.51,366.45,572,194771.72,209609.11,14837.39,7.62,TIME_EXIT,14,97.75,18.41,60.7,5.0
MAHLOG,Mahindra Logistics Limited,2026-04-15,2026-04-16,2026-05-05,415.62,398.4,446,185367.64,177686.0,-7681.63,-4.14,STOP_LOSS,12,80.29,4.41,63.6,5.0
REPCOHOME,Repco Home Finance Limited,2026-04-15,2026-04-16,2026-05-07,399.5,413.43,495,197751.68,204647.32,6895.63,3.49,TIME_EXIT,14,85.32,5.56,62.5,4.59
AVL,Aditya Vision Limited,2026-05-04,2026-05-05,2026-05-11,548.82,526.08,355,194831.81,186757.98,-8073.83,-4.14,STOP_LOSS,4,76.15,3.37,69.9,4.22
ALBERTDAVD,Albert David Limited,2026-05-06,2026-05-07,2026-05-12,815.17,781.39,244,198901.71,190659.22,-8242.49,-4.14,STOP_LOSS,3,71.24,12.92,69.3,3.28
CHALET,Chalet Hotels Limited,2026-05-06,2026-05-07,2026-05-12,797.19,764.16,246,196109.72,187982.94,-8126.79,-4.14,STOP_LOSS,3,71.25,6.55,54.2,3.23
