symbol,signal_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason,holding_days,deliv_per,deliv_spike_x,company_name
360ONE,2025-04-23,2025-04-24,2025-04-24,1058.0,1020.97,-3.5,STOP_LOSS,1,57.92,2.06,360 ONE WAM LIMITED
360ONE,2025-10-20,2025-10-21,2025-10-29,1200.1,1158.1,-3.5,STOP_LOSS,7,57.96,3.71,360 ONE WAM LIMITED
3MINDIA,2025-11-03,2025-11-04,2025-11-04,33060.0,36035.4,9.0,TARGET_HIT,1,73.22,13.86,3M India Limited
3MINDIA,2026-04-22,2026-04-23,2026-05-06,32800.0,32525.0,-0.84,TIME_EXIT,10,59.55,4.62,3M India Limited
AADHARHFC,2026-06-19,2026-06-22,2026-06-22,516.0,497.94,-3.5,STOP_LOSS,1,69.63,9.21,Aadhar Housing Finance Limited
AAREYDRUGS,2025-12-16,2025-12-17,2025-12-17,67.0,64.66,-3.5,STOP_LOSS,1,65.61,3.61,Aarey Drugs & Pharmaceuticals Limited
AAREYDRUGS,2026-04-17,2026-04-20,2026-04-24,82.7,90.14,9.0,TARGET_HIT,5,57.89,6.29,Aarey Drugs & Pharmaceuticals Limited
AARTECH,2025-01-02,2025-01-03,2025-01-06,87.5,95.38,9.0,TARGET_HIT,2,63.07,4.27,Aartech Solonics Limited
AARTISURF,2026-08-03,2026-08-04,2026-08-04,529.95,511.4,-3.5,STOP_LOSS,1,67.28,9.09,Aarti Surfactants Limited
AAVAS,2026-04-10,2026-04-13,2026-04-17,1215.1,1324.46,9.0,TARGET_HIT,5,85.38,2.25,Aavas Financiers Limited
ABB,2026-02-03,2026-02-04,2026-02-17,5661.0,5836.0,3.09,TIME_EXIT,10,58.36,2.07,ABB India Limited
ABCAPITAL,2025-06-20,2025-06-23,2025-07-01,258.8,282.09,9.0,TARGET_HIT,7,70.74,3.78,Aditya Birla Capital Limited
ABCAPITAL,2025-11-28,2025-12-01,2025-12-12,358.0,362.95,1.38,TIME_EXIT,10,62.62,3.23,Aditya Birla Capital Limited
ABDL,2024-12-02,2024-12-03,2024-12-09,346.45,377.63,9.0,TARGET_HIT,5,58.62,3.91,Allied Blenders and Distillers Limited
ABDL,2024-12-06,2024-12-09,2024-12-20,374.4,386.6,3.26,TIME_EXIT,10,59.02,3.0,Allied Blenders and Distillers Limited
ABDL,2024-12-24,2024-12-26,2025-01-08,417.45,433.5,3.84,TIME_EXIT,10,62.87,3.82,Allied Blenders and Distillers Limited
ABDL,2025-05-13,2025-05-14,2025-05-16,383.9,418.45,9.0,TARGET_HIT,3,62.73,4.98,Allied Blenders and Distillers Limited
ABINFRA,2025-05-19,2025-05-20,2025-05-21,112.8,122.95,9.0,TARGET_HIT,2,59.16,3.92,A B Infrabuild Limited
ABREL,2025-05-16,2025-05-19,2025-05-22,2150.5,2075.23,-3.5,STOP_LOSS,4,59.14,3.74,Aditya Birla Real Estate Limited
ABSLAMC,2025-05-16,2025-05-19,2025-05-30,707.95,747.05,5.52,TIME_EXIT,10,75.37,3.85,Aditya Birla Sun Life AMC Limited
ABSLAMC,2025-05-19,2025-05-20,2025-05-20,732.0,706.38,-3.5,STOP_LOSS,1,66.94,2.18,Aditya Birla Sun Life AMC Limited
ABSLAMC,2026-06-15,2026-06-16,2026-06-17,1156.4,1115.93,-3.5,STOP_LOSS,2,66.37,2.52,Aditya Birla Sun Life AMC Limited
ABSLAMC,2026-09-11,2026-09-15,2026-09-15,1102.0,1063.43,-3.5,STOP_LOSS,1,66.37,2.66,Aditya Birla Sun Life AMC Limited
ACCELYA,2026-01-14,2026-01-16,2026-01-29,1345.0,1320.3,-1.84,TIME_EXIT,10,73.79,2.04,Accelya Solutions India Limited
ACI,2024-11-25,2024-11-26,2024-11-27,720.0,694.8,-3.5,STOP_LOSS,2,65.94,3.03,Archean Chemical Industries Limited
ACL,2025-08-26,2025-08-28,2025-08-28,93.17,89.91,-3.5,STOP_LOSS,1,63.61,7.71,Andhra Cements Limited
ACMESOLAR,2025-05-30,2025-06-02,2025-06-03,261.25,252.11,-3.5,STOP_LOSS,2,61.25,5.3,Acme Solar Holdings Limited
ACMESOLAR,2026-04-17,2026-04-20,2026-04-20,309.0,298.18,-3.5,STOP_LOSS,1,57.95,2.79,Acme Solar Holdings Limited
ACSTECH,2026-08-10,2026-08-11,2026-08-11,51.9,50.08,-3.5,STOP_LOSS,1,62.62,2.84,ACS Technologies Limited
