SYMBOL,TOT_DELIV_QTY,TOT_TRD_QTY,TOT_TURNOVER_CR,DAYS_TRADED,LATEST_CLOSE,FIRST_PREV_CLOSE,WEEKLY_DELIV_PER,WEEKLY_PRICE_CHG,PRIOR_DELIV_QTY,PRIOR_TRD_QTY,PRIOR_TURNOVER_CR,WEEKLY_SPIKE_X,COMPANY_NAME
SHANKARA,1061743.0,1201162,17.9104,6,149.26,148.41,88.39298945521087,0.5727376861397442,327255.0,421459.0,6.245900000000001,3.2443904600388076,Shankara Building Products Limited
VENTIVE,176515.0,227254,12.8322,6,557.35,569.8,77.67300025522103,-2.184977184977173,120002.0,173123.0,9.8825,1.4709338177697038,Ventive Hospitality Limited
UBL,1055010.0,1373691,171.37129999999996,6,1251.5,1256.7,76.80111466115743,-0.4137821277950223,586288.0,1056390.0,134.9091,1.7994739786589526,United Breweries Limited
METROBRAND,1470846.0,1935025,182.0343,6,940.85,952.1,76.01173111458507,-1.1815985715786157,98550.0,163526.0,15.37,14.924870624048706,Metro Brands Limited
BHARTIARTL,25404715.0,33912239,6282.533300000001,6,1893.3,1839.0,74.91311617613924,2.952691680261009,16669598.0,23918645.0,4393.2085,1.5240148562670797,Bharti Airtel Limited
HCG,728963.0,996668,68.1447,6,708.25,700.9,73.14000248829099,1.0486517334855219,351245.0,725922.0,50.8283,2.0753690443992086,Healthcare Global Enterprises Limited
SMARTWORKS,367936.0,505791,27.0916,6,547.35,535.55,72.74467121795367,2.203342358323232,241027.0,411464.0,22.395500000000002,1.5265343716679045,Smartworks Coworking Spaces Limited
WELENT,5566913.0,7781584,599.9319,6,823.35,797.95,71.53958628474614,3.183156839400962,1455158.0,4287972.0,343.2756,3.8256416141752303,Welspun Enterprises Limited
VINATIORGA,296287.0,424503,53.5718,6,1234.9,1312.4,69.79620874292996,-5.905211825662907,199327.0,352695.0,46.863099999999996,1.4864368600340145,Vinati Organics Limited
AURUM,402708.0,577973,12.781099999999999,6,219.78,220.38,69.67591911732902,-0.2722570106180208,241110.0,396762.0,8.870999999999999,1.6702252084110987,Aurum PropTech Limited
DIVISLAB,2415042.0,3478339,3223.3115000000003,6,9375.0,9438.5,69.43089790845573,-0.6727763945542194,1291756.0,2314724.0,2174.4188,1.8695806328749391,Divi's Laboratories Limited
ADVANCE,746067.0,1077557,12.157999999999998,6,110.48,119.03,69.23689419678031,-7.183063093337812,405830.0,819249.0,9.681600000000001,1.8383732104575807,Advance Agrolife Limited
KOTAKBANK,56782305.0,82596977,3428.9431,6,412.5,416.55,68.74622663248317,-0.972272236226146,32596576.0,47605359.0,1997.6849,1.7419714573702465,Kotak Mahindra Bank Limited
MAXESTATES,627553.0,914222,52.0091,6,594.0,559.75,68.643392961447,6.11880303707012,323883.0,441850.0,23.9733,1.9375916611862927,Max Estates Limited
MASFIN,1092543.0,1600451,46.4055,6,288.95,294.45,68.26469538898723,-1.8678892851078284,611604.0,931720.0,27.057999999999996,1.7863568583593306,MAS Financial Services Limited
SUNPHARMA,6766541.0,9972266,1843.1635,6,1837.3,1861.0,67.85359516081901,-1.2735088662009697,4209665.0,6338849.0,1191.9446,1.6073822976412613,Sun Pharmaceutical Industries Limited
ZOTA,210304.0,310232,34.7377,6,1144.5,1099.5,67.7892673869878,4.092769440654844,141407.0,250633.0,28.012800000000002,1.487224819139081,Zota Health Care LImited
MANKIND,2121220.0,3131230,711.6267,6,2300.7,2238.4,67.74398559032713,2.7832380271622466,509822.0,908958.0,208.7384,4.160707070310814,Mankind Pharma Limited
IIFLCAPS,2315301.0,3482635,118.5398,6,345.1,337.3,66.48129936097237,2.312481470501041,1327235.0,2145674.0,72.95070000000001,1.7444544485339823,IIFL Capital Services Limited
KKCL,176475.0,266211,13.0947,6,485.6,501.7,66.2914004304856,-3.2090890970699553,84778.0,136827.0,6.949299999999999,2.081613154356083,Kewal Kiran Clothing Limited
FRACTAL,1535324.0,2319632,176.6277,6,764.35,766.65,66.1882574477331,-0.30000652188090454,749952.0,1382535.0,110.0606,2.047229689366786,Fractal Analytics Limited
ONIDA,3554516.0,5372464,17.8939,6,32.89,32.98,66.16174626763437,-0.2728926622195158,969551.0,1592889.0,5.4537,3.6661464946145172,Onida Electronics Limited
AADHARHFC,2093232.0,3181719,146.4057,6,461.65,462.7,65.78934217635184,-0.22692889561271049,769071.0,1397668.0,66.14580000000001,2.7217669109874123,Aadhar Housing Finance Limited
NAVKARCORP,2191439.0,3340467,29.337999999999997,6,88.91,93.85,65.60277350442318,-5.263718700053274,596550.0,1075239.0,10.2135,3.6735210795406923,Navkar Corporation Limited
ALKEM,1039517.0,1587562,828.2607,6,5466.5,5138.0,65.47882854338917,6.393538341767224,254312.0,426383.0,220.0807,4.087565667369216,Alkem Laboratories Limited
ZFCVINDIA,380438.0,581117,141.9583,6,2387.0,2528.4,65.46667882715529,-5.592469545957921,184045.0,328588.0,82.04719999999999,2.0670922872123665,ZF Commercial Vehicle Control Systems India Limited
LGEINDIA,2133084.0,3266161,544.0102,6,1696.9,1650.0,65.30859930052438,2.842424242424248,1753182.0,2447091.0,404.3165,1.216692847633617,LG Electronics India Limited
BAJFINANCE,22052890.0,33823197,3459.2398,6,1040.3,1043.5,65.20048947472351,-0.3066602779108812,17588117.0,26294921.0,2764.3688,1.2538516772432204,Bajaj Finance Limited
MEDPLUS,353077.0,542076,35.5668,6,659.65,658.05,65.1342247212568,0.24314261834207473,309899.0,672082.0,44.799400000000006,1.1393292653412885,Medplus Health Services Limited
GREENPANEL,2639759.0,4053884,63.038900000000005,6,157.83,159.99,65.11678676548219,-1.350084380273765,1075891.0,2190400.0,35.3404,2.4535561687940506,Greenpanel Industries Limited
