id,symbol,company,isin,sector,industry,series,listing_date,market_cap,revenue_growth,pat_growth,roce,ai_score
8416,ARROWHEAD, Arrowhead Seperation Engineering Limited,INE0PP401015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9300,MAXIND-RE, Max India Limited,INE0CG620016,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
12,20MICRONS,20 Microns Limited,INE144J01027,Unknown,Unknown,EQ,2008-10-06,Unknown,0.0,0.0,0.0,0.0
13,21STCENMGM,21st Century Management Services Limited,INE253B01015,Unknown,Unknown,EQ,1995-05-03,Unknown,0.0,0.0,0.0,0.0
8764,MSCI360,360 ONE Mutual Fund,INF579M01BP5,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
14,360ONE,360 ONE WAM LIMITED,INE466L01038,Unknown,Unknown,EQ,2019-09-19,Unknown,0.0,0.0,0.0,0.0
15,3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,Unknown,Unknown,EQ,2026-04-20,Unknown,0.0,0.0,0.0,0.0
8569,3BFILMS,3B FILMS LIMITED,INE0TE101010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8472,3CIT,3C IT Solutions and Telecoms (India) Limited,INE0R7D01018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9364,3IINFO-RE,3i Infotech limited,INE748C20012,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
16,3IINFOLTD,3i Infotech Limited,INE748C01038,Unknown,Unknown,BE,2021-10-22,Unknown,0.0,0.0,0.0,0.0
17,3MINDIA,3M India Limited,INE470A01017,Unknown,Unknown,EQ,2004-08-13,Unknown,0.0,0.0,0.0,0.0
18,3PLAND,3P Land Holdings Limited,INE105C01023,Unknown,Unknown,EQ,1995-07-19,Unknown,0.0,0.0,0.0,0.0
9427,5PAISA-RE,5paisa Capital Limited,INE618L20018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
19,5PAISA,5Paisa Capital Limited,INE618L01018,Unknown,Unknown,EQ,2017-11-16,Unknown,0.0,0.0,0.0,0.0
20,63MOONS,63 moons technologies limited,INE111B01023,Unknown,Unknown,EQ,2005-06-20,Unknown,0.0,0.0,0.0,0.0
7838,7NR,7NR Retail Limited,INE413X01035,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9052,7NR-RE,7NR Retail Limited,INE413X20019,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9325,7NR-RE1,7NR Retail Limited,INE413X20027,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7936,7SEASL,7SEAS ENTERTAINMENT LIMITED,INE454F01010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8891,7SEAS,7SEAS TECHNOLOGIES LIMITED,INF454F01010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8055,A1L,A-1 LIMITED,INE911Z01025,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7870,AMFL,A & M Febcon Limited,INE319X01018,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
41,ABCOTS,A B Cotspin India Limited,INE08PH01015,Unknown,Unknown,EQ,2025-09-24,Unknown,0.0,0.0,0.0,0.0
44,ABINFRA,A B Infrabuild Limited,INE00YB01025,Unknown,Unknown,BE,2024-11-08,Unknown,0.0,0.0,0.0,0.0
9287,ABIN-RE1,A B INFRABUILD LIMITED,INE00YB20025,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9098,AFEL-RE,A.F. Enterprises Limited,INE663P20015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9212,AFEL-RE1,A.F. Enterprises Limited,INE663P20023,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7222,AFEL,A.F. Enterprises Limited,INE663P01015,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
9613,AFELPP,A.F. Enterprises Limited,IN9663P01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
3856,AJBRO,A.J.Brothers Ltd.,INE939C01017,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
21,A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Unknown,Unknown,EQ,2010-12-23,Unknown,0.0,0.0,0.0,0.0
9171,ATRADE-RE,AA Plus Tradelink Limited,INE0C5920014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
8231,AAPLUSTRAD,AA Plus Tradelink Limited,INE0C5901022,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
22,AAATECH,AAA Technologies Limited,INE0D0U01013,Unknown,Unknown,EQ,2022-11-28,Unknown,0.0,0.0,0.0,0.0
6336,AADHAARVEN,Aadhaar Ventures India Limited,INE063D01030,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
23,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Unknown,Unknown,EQ,2024-05-15,Unknown,0.0,0.0,0.0,0.0
5082,AADIIND,Aadi Industries Ltd,INE563D01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
6486,AAGAMCAP,Aagam Capital Limited,INE817D01013,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
4560,AAKARENG,Aakar Engineering &Manufacturing Co,INE814B01014,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
24,AAKASH,Aakash Exploration Services Limited,INE087Z01024,Unknown,Unknown,EQ,2020-09-29,Unknown,0.0,0.0,0.0,0.0
7446,AANANDALAK,Aananda Lakshmi Spinning Mills Limited,INE197R01010,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7344,AANCHALISP,Aanchal Ispat Limited,INE322R01022,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
